Reporting Economy;Product/Sector;Partner Economy;2015;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Switzerland;477;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Chinese Taipei;2419;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Thailand;457;;;;;;
Hong Kong, China;BOP6 - SC - Transport;United Kingdom;2009;;;;;;
Hong Kong, China;BOP6 - SC - Transport;United States of America;5442;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Australia;405;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Belgium-Luxembourg;20;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Canada;215;;;;;;
Hong Kong, China;BOP6 - SD - Travel;China;28572;;;;;;
Hong Kong, China;BOP6 - SD - Travel;European Union (28);1045;;;;;;
Hong Kong, China;BOP6 - SD - Travel;France;137;;;;;;
Hong Kong, China;BOP6 - SD - Travel;G-7 (Group of Seven);2182;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Germany;127;;;;;;
Hong Kong, China;BOP6 - SD - Travel;India;274;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Indonesia;302;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Italy;61;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Japan;394;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Korea, Republic of;589;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Macao, China;363;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Malaysia;357;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Netherlands;61;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Philippines;433;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Singapore;504;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Chinese Taipei;708;;;;;;
Hong Kong, China;BOP6 - SD - Travel;Thailand;433;;;;;;
Hong Kong, China;BOP6 - SD - Travel;United Kingdom;427;;;;;;
Hong Kong, China;BOP6 - SD - Travel;United States of America;821;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Australia;951;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Belgium-Luxembourg;1062;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Canada;180;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;China;5250;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;European Union (28);10415;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;France;1532;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;G-7 (Group of Seven);18324;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Germany;899;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;India;365;;;;;;
